"Season","MP","OWS","DWS","WS","WS48","StartDate","EndDate"
"1996-97",1103,0.5,1.3,1.8,0.079,"1996-11-01","1997-06-13"
"1997-98",2056,4.5,1.8,6.3,0.147,"1997-10-31","1998-06-14"
"1998-99",1896,3.7,1.5,5.2,0.13,"1999-02-05","1999-06-25"
"1999-00",2524,6.1,4.5,10.6,0.202,"1999-11-02","2000-06-19"
"2000-01",2783,9.2,2.2,11.3,0.196,"2000-10-31","2001-06-15"
"2001-02",3063,8.9,3.8,12.7,0.199,"2001-10-30","2002-06-12"
"2002-03",3401,11,4,14.9,0.21,"2002-10-29","2003-06-15"
"2003-04",2447,7.8,3,10.7,0.21,"2003-10-28","2004-06-15"
"2004-05",2689,7.1,1,8.1,0.145,"2004-11-02","2005-06-23"
"2005-06",3277,11.6,3.7,15.3,0.224,"2005-11-01","2006-06-20"
"2006-07",3140,10.8,2.2,13,0.199,"2006-10-31","2007-06-14"
"2007-08",3192,9.5,4.3,13.8,0.208,"2007-10-30","2008-06-17"
"2008-09",2960,8.6,4,12.7,0.206,"2008-10-28","2009-06-14"
"2009-10",2835,5.4,4,9.4,0.16,"2009-10-27","2010-06-17"
"2010-11",2779,6.8,3.5,10.3,0.178,"2010-10-26","2011-06-12"
"2011-12",2232,4.2,2,6.2,0.132,"2011-12-25","2012-06-21"
"2012-13",3013,8.4,2.6,10.9,0.174,"2012-10-30","2013-06-20"
"2013-14",177,-0.5,0.1,-0.4,-0.097,"2013-10-29","2014-06-15"
"2014-15",1207,-0.4,0.6,0.2,0.006,"2014-10-28","2015-06-16"
"2015-16",1863,-0.9,0.5,-0.4,-0.01,"2015-10-27","2016-06-19"
